transaction_id,timestamp,card_id,amount,merchant_name,merchant_category,channel,cardholder_country,merchant_country,device_id,ip_address
tx_000000,2026-05-05T03:20:23.498380,card_009,42.582540374308564,QuickPay Online,utilities,atm,CA,CA,DEV-NORM-2,
tx_000001,2026-05-15T20:20:23.498380,card_026,58.69126758462944,Shell,utilities,atm,CA,CA,,142.23.44.47
tx_000002,2026-05-07T22:20:23.498380,card_020,5.858293963487461,QuickPay Online,gas,online,CA,CA,DEV-NORM-4,
tx_000003,2026-05-15T10:20:23.498380,card_008,29.57262536832762,Shell,electronics,atm,CA,CA,DEV-NORM-7,142.23.44.23
tx_000004,2026-05-11T09:20:23.498380,card_041,147.40257435240056,Shell,electronics,online,CA,CA,,142.23.44.46
tx_000005,2026-05-28T18:20:23.498380,card_000,123.42536356789938,Tim Hortons,restaurant,in_person,CA,CA,DEV-NORM-3,
tx_000006,2026-05-13T06:20:23.498380,card_031,140.62661114718532,Netflix,travel,online,CA,CA,,
tx_000007,2026-05-26T15:20:23.498380,card_040,122.59762090368912,Uber,online_retail,online,CA,CA,,
tx_000008,2026-05-15T04:20:23.498380,card_010,87.66085510722581,Walmart,grocery,online,CA,CA,,142.23.44.10
tx_000009,2026-05-10T22:20:23.498380,card_031,57.912650950432784,Tim Hortons,atm,atm,CA,CA,,
tx_000010,2026-05-07T15:20:23.498380,card_029,16.088171245058852,Apple Store,online_retail,in_person,CA,CA,DEV-NORM-8,
tx_000011,2026-05-10T17:20:23.498380,card_021,24.236932877621225,QuickPay Online,utilities,online,CA,CA,DEV-NORM-7,
tx_000012,2026-05-13T17:20:23.498380,card_044,140.66177253100744,Amazon.ca,online_retail,in_person,CA,CA,DEV-NORM-5,142.23.44.48
tx_000013,2026-05-27T21:20:23.498380,card_047,27.97952792246022,Tim Hortons,gift_card,in_person,CA,CA,,142.23.44.15
tx_000014,2026-05-29T09:20:23.498380,card_006,116.37155209288623,Uber,gas,in_person,CA,CA,,
tx_000015,2026-05-08T11:20:23.498380,card_015,110.57586701747195,Uber,utilities,online,CA,CA,,142.23.44.34
tx_000016,2026-05-23T21:20:23.498380,card_004,48.21818261544686,Tim Hortons,gift_card,atm,CA,CA,DEV-NORM-3,
tx_000017,2026-05-28T19:20:23.498380,card_040,143.91111448643585,QuickPay Online,atm,online,CA,CA,,142.23.44.42
tx_000018,2026-05-13T17:20:23.498380,card_035,103.86156989607011,QuickPay Online,travel,in_person,CA,CA,,142.23.44.29
tx_000019,2026-05-21T05:20:23.498380,card_017,56.545791365199435,Shell,entertainment,in_person,CA,CA,DEV-NORM-7,
tx_000020,2026-05-11T19:20:23.498380,card_048,71.04845057812196,Tim Hortons,online_retail,online,CA,CA,DEV-NORM-10,
tx_000021,2026-05-21T10:20:23.498380,card_032,33.512778037532826,Netflix,grocery,atm,CA,CA,,
tx_000022,2026-05-17T15:20:23.498380,card_027,2184.1749301420823,Shell,utilities,in_person,CA,FR,,
tx_000023,2026-05-17T11:20:23.498380,card_014,22.146058791512846,Apple Store,utilities,online,CA,CA,,142.23.44.11
tx_000024,2026-05-18T11:20:23.498380,card_004,19.145070486669415,Shell,electronics,atm,CA,CA,,142.23.44.26
tx_000025,2026-05-11T20:20:23.498380,card_001,114.69518875958609,Walmart,grocery,online,CA,CA,,142.23.44.5
tx_000026,2026-05-02T23:20:23.498380,card_004,9.831422596605137,Tim Hortons,electronics,in_person,CA,CA,,142.23.44.10
tx_000027,2026-05-09T05:20:23.498380,card_023,34.855941386797646,Netflix,utilities,online,CA,CA,,
tx_000028,2026-05-20T11:20:23.498380,card_044,99.68847863794373,Apple Store,online_retail,online,CA,CA,,
tx_000029,2026-05-23T21:20:23.498380,card_043,98.07166711631832,Netflix,gift_card,in_person,CA,CA,,
tx_000030,2026-05-09T08:20:23.498380,card_044,141.05932401147663,Amazon.ca,travel,online,CA,CA,DEV-NORM-4,142.23.44.43
tx_000031,2026-05-22T14:20:23.498380,card_032,22.05284543289855,QuickPay Online,subscription,atm,CA,CA,,
tx_000032,2026-05-25T22:20:23.498380,card_042,132.37468771065465,Walmart,entertainment,online,CA,CA,,
tx_000033,2026-05-04T19:20:23.498380,card_004,99.65079090772623,Walmart,restaurant,online,CA,CA,DEV-NORM-9,142.23.44.2
tx_000034,2026-05-04T11:20:23.498380,card_018,80.97070768429847,Tim Hortons,gift_card,in_person,CA,CA,,
tx_000035,2026-05-24T19:20:23.498380,card_024,72.25980675116035,Amazon.ca,online_retail,atm,CA,CA,DEV-NORM-2,142.23.44.24
tx_000036,2026-05-16T20:20:23.498380,card_017,82.51181961290652,Netflix,entertainment,online,CA,CA,,
tx_000037,2026-05-19T01:20:23.498380,card_040,110.70584059662727,Shell,entertainment,atm,CA,CA,,
tx_000038,2026-05-03T23:20:23.498380,card_015,18.223096179699233,Netflix,entertainment,online,CA,CA,,
tx_000039,2026-05-18T04:20:23.498380,card_008,11.400611795285762,Tim Hortons,utilities,online,CA,CA,,
tx_000040,2026-05-20T22:20:23.498380,card_044,95.80322807782181,Apple Store,travel,online,CA,CA,,142.23.44.48
tx_000041,2026-05-08T20:20:23.498380,card_039,6.977204376355806,Uber,atm,online,CA,CA,,
tx_000042,2026-05-05T13:20:23.498380,card_034,3564.567396269853,Tim Hortons,electronics,online,CA,FR,DEV-FRAUD,
tx_000043,2026-05-01T21:20:23.498380,card_041,7.560759329978195,Tim Hortons,electronics,in_person,CA,CA,DEV-NORM-9,142.23.44.29
tx_000044,2026-05-25T08:20:23.498380,card_043,71.06475130759006,Uber,grocery,online,CA,CA,,142.23.44.11
tx_000045,2026-05-10T10:20:23.498380,card_019,73.62495866393368,Tim Hortons,electronics,online,CA,CA,DEV-NORM-8,
tx_000046,2026-05-22T23:20:23.498380,card_045,64.61674116662145,QuickPay Online,electronics,atm,CA,CA,DEV-NORM-7,
tx_000047,2026-05-03T13:20:23.498380,card_044,73.35516097351326,Apple Store,online_retail,atm,CA,CA,,
tx_000048,2026-05-15T01:20:23.498380,card_022,117.80756526614563,Uber,electronics,online,CA,CA,,
tx_000049,2026-05-11T14:20:23.498380,card_034,110.77093706146752,Shell,atm,in_person,CA,CA,,142.23.44.22
tx_000050,2026-05-03T02:20:23.498380,card_043,64.4232007688194,Tim Hortons,subscription,atm,CA,CA,DEV-NORM-6,
tx_000051,2026-05-22T16:20:23.498380,card_019,34.105896321345966,Tim Hortons,gift_card,atm,CA,CA,,
tx_000052,2026-05-14T18:20:23.498380,card_003,107.25561803593386,Shell,atm,online,CA,CA,,142.23.44.44
tx_000053,2026-05-12T21:20:23.498380,card_005,34.92676004221639,Tim Hortons,gas,in_person,CA,CA,,
tx_000054,2026-05-12T11:20:23.498380,card_008,26.067331680806895,Walmart,subscription,atm,CA,CA,,
tx_000055,2026-05-04T19:20:23.498380,card_007,1947.075596694373,Uber,online_retail,online,CA,FR,,
tx_000056,2026-05-13T21:20:23.498380,card_023,131.8980528803807,Uber,travel,in_person,CA,CA,DEV-NORM-7,142.23.44.36
tx_000057,2026-05-17T09:20:23.498380,card_043,126.30652194598316,Apple Store,entertainment,atm,CA,CA,,
tx_000058,2026-05-16T17:20:23.498380,card_020,139.52957701198753,Uber,atm,in_person,CA,CA,,
tx_000059,2026-05-05T00:20:23.498380,card_023,106.04126104418253,Apple Store,grocery,online,CA,CA,DEV-NORM-2,
tx_000060,2026-05-13T23:20:23.498380,card_011,52.92326934426434,Apple Store,grocery,online,CA,CA,,
tx_000061,2026-05-06T20:20:23.498380,card_037,124.04187706298181,Apple Store,restaurant,online,CA,CA,,142.23.44.49
tx_000062,2026-05-31T03:20:23.498380,card_033,10.764316280260983,Uber,travel,in_person,CA,CA,DEV-NORM-1,
tx_000063,2026-05-16T04:20:23.498380,card_022,114.11594126973235,Walmart,subscription,in_person,CA,CA,DEV-NORM-4,142.23.44.49
tx_000064,2026-05-30T18:20:23.498380,card_034,68.51815904100226,Amazon.ca,travel,online,CA,CA,,142.23.44.6
